country,happiness,attribute,value,scale
Afghanistan,3.203,log_gdp,7.440942374181819,0
Afghanistan,3.203,life_exp,52.25454538454545,1
Afghanistan,3.203,generosity,0.09598050081818181,2
Albania,4.719,log_gdp,9.262285926,0
Albania,4.719,life_exp,67.25454503818182,1
Albania,4.719,generosity,-0.0929075660909091,2
Algeria,5.211,log_gdp,9.5036680222,0
Algeria,5.211,life_exp,65.116000366,1
Algeria,5.211,generosity,-0.1986555964,2
Argentina,6.086,log_gdp,9.825670829,0
Argentina,6.086,life_exp,67.71538485,1
Argentina,6.086,generosity,-0.15491403476923077,2
Armenia,4.559,log_gdp,8.925997073769231,0
Armenia,4.559,life_exp,65.63076899615385,1
Armenia,4.559,generosity,-0.1882672366153846,2
Australia,7.228,log_gdp,10.668708021818182,0
Australia,7.228,life_exp,72.56363608545455,1
Australia,7.228,generosity,0.28543876927272727,2
Austria,7.246,log_gdp,10.700700760909092,0
Austria,7.246,life_exp,71.85818204090909,1
Austria,7.246,generosity,0.14587532727272728,2
Azerbaijan,5.208,log_gdp,9.630238092923078,0
Azerbaijan,5.208,life_exp,63.80000011846154,1
Azerbaijan,5.208,generosity,-0.18611540238461538,2
Bahrain,6.199,log_gdp,10.645951111666667,0
Bahrain,6.199,life_exp,67.18666712333334,1
Bahrain,6.199,generosity,0.045612223333333334,2
Bangladesh,4.456,log_gdp,7.9088745483076925,0
Bangladesh,4.456,life_exp,61.57692307769231,1
Bangladesh,4.456,generosity,-0.027718024307692306,2
Belarus,5.323,log_gdp,9.69012194423077,0
Belarus,5.323,life_exp,63.54615402230769,1
Belarus,5.323,generosity,-0.17517723084615386,2
Belgium,6.923,log_gdp,10.63772218909091,0
Belgium,6.923,life_exp,71.15454656454546,1
Belgium,6.923,generosity,-0.004203475818181817,2
Benin,4.883,log_gdp,7.5686161041,0
Benin,4.883,life_exp,52.539999771,1
Benin,4.883,generosity,-0.0376073401,2
Bhutan,5.082,log_gdp,8.907667795666667,0
Bhutan,5.082,life_exp,59.90000025333333,1
Bhutan,5.082,generosity,0.3084997036666667,2
Bolivia,5.779,log_gdp,8.674751134923078,0
Bolivia,5.779,life_exp,61.53846153846154,1
Bolivia,5.779,generosity,-0.043032605,2
Bosnia and Herzegovina,5.386,log_gdp,9.253979682818182,0
Bosnia and Herzegovina,5.386,life_exp,66.89272724545455,1
Bosnia and Herzegovina,5.386,generosity,0.03387176272727272,2
Botswana,3.488,log_gdp,9.593870076181819,0
Botswana,3.488,life_exp,54.580000444545455,1
Botswana,3.488,generosity,-0.1957828578181818,2
Brazil,6.3,log_gdp,9.571877913090908,0
Brazil,6.3,life_exp,65.14000008454545,1
Brazil,6.3,generosity,-0.09102076645454546,2
Bulgaria,5.011,log_gdp,9.7148798942,0
Bulgaria,5.011,life_exp,66.059999847,1
Bulgaria,5.011,generosity,-0.1650049168,2
Burkina Faso,4.587,log_gdp,7.325637141916666,0
Burkina Faso,4.587,life_exp,50.7300004975,1
Burkina Faso,4.587,generosity,-0.027501131833333334,2
Burundi,3.775,log_gdp,6.6287601471999995,0
Burundi,3.775,life_exp,50.916000368,1
Burundi,3.775,generosity,-0.0324238014,2
Cambodia,4.7,log_gdp,7.955888821538461,0
Cambodia,4.7,life_exp,58.94615378769231,1
Cambodia,4.7,generosity,0.18312360315384615,2
Cameroon,5.044,log_gdp,8.035231333538462,0
Cameroon,5.044,life_exp,49.14615396307693,1
Cameroon,5.044,generosity,-0.021053837,2
Canada,7.278,log_gdp,10.648498536153847,0
Canada,7.278,life_exp,72.50922980692307,1
Canada,7.278,generosity,0.23095509692307692,2
Central African Republic,3.083,log_gdp,6.6604643822,0
Central African Republic,3.083,life_exp,43.356001282,1
Central African Republic,3.083,generosity,0.0458244408,2
Chad,4.35,log_gdp,7.530406731846154,0
Chad,4.35,life_exp,45.700000175384616,1
Chad,4.35,generosity,-0.008042617846153847,2
Chile,6.444,log_gdp,9.940409367692308,0
Chile,6.444,life_exp,69.22307704076923,1
Chile,6.444,generosity,0.10061366415384615,2
China,5.191,log_gdp,9.327680428916667,0
China,5.191,life_exp,68.05999946583333,1
China,5.191,generosity,-0.19176336058333332,2
Colombia,6.125,log_gdp,9.370048156153846,0
Colombia,6.125,life_exp,66.25384580153846,1
Colombia,6.125,generosity,-0.07788528746153846,2
Comoros,3.973,log_gdp,7.2566669462,0
Comoros,3.973,life_exp,55.324000548,1
Comoros,3.973,generosity,0.011823149800000002,2
Congo (Brazzaville),4.812,log_gdp,8.549083921666666,0
Congo (Brazzaville),4.812,life_exp,55.64444478222222,1
Congo (Brazzaville),4.812,generosity,-0.1354193611111111,2
Congo (Kinshasa),4.418,log_gdp,6.613027036,0
Congo (Kinshasa),4.418,life_exp,51.35500001875,1
Congo (Kinshasa),4.418,generosity,0.0089247725,2
Costa Rica,7.167,log_gdp,9.528552935692307,0
Costa Rica,7.167,life_exp,70.30000011692307,1
Costa Rica,7.167,generosity,0.013232676615384614,2
Croatia,5.432,log_gdp,9.95892897590909,0
Croatia,5.432,life_exp,68.40545446272728,1
Croatia,5.432,generosity,-0.1401031870909091,2
Cyprus,6.046,log_gdp,10.377583789,0
Cyprus,6.046,life_exp,72.690000915,1
Cyprus,6.046,generosity,0.0657775149,2
Czech Republic,6.852,log_gdp,10.307466604,0
Czech Republic,6.852,life_exp,68.754000852,1
Czech Republic,6.852,generosity,-0.152031491,2
Denmark,7.6,log_gdp,10.719682216666666,0
Denmark,7.6,life_exp,71.0199998225,1
Denmark,7.6,generosity,0.18921296133333335,2
Dominican Republic,5.425,log_gdp,9.386959222615385,0
Dominican Republic,5.425,life_exp,64.2307689376923,1
Dominican Republic,5.425,generosity,-0.04785091753846154,2
Ecuador,6.028,log_gdp,9.205796975307692,0
Ecuador,6.028,life_exp,67.16923170846154,1
Ecuador,6.028,generosity,-0.11193826430769231,2
Egypt,4.166,log_gdp,9.198460261,0
Egypt,4.166,life_exp,60.519999821666666,1
Egypt,4.166,generosity,-0.13519258108333335,2
El Salvador,6.253,log_gdp,8.80710645823077,0
El Salvador,6.253,life_exp,64.55384621230769,1
El Salvador,6.253,generosity,-0.11788672476923077,2
Estonia,5.893,log_gdp,10.188165268333332,0
Estonia,5.893,life_exp,67.06666628416667,1
Estonia,5.893,generosity,-0.18948070641666667,2
Ethiopia,4.286,log_gdp,7.323557376714286,0
Ethiopia,4.286,life_exp,56.91428593285714,1
Ethiopia,4.286,generosity,0.037694175999999996,2
Finland,7.769,log_gdp,10.602655498181818,0
Finland,7.769,life_exp,71.02181868181817,1
Finland,7.769,generosity,0.014454840818181817,2
France,6.592,log_gdp,10.5342905525,0
France,6.592,life_exp,72.694999695,1
France,6.592,generosity,-0.09407262508333333,2
Gabon,4.799,log_gdp,9.711026668625,0
Gabon,4.799,life_exp,57.72500038,1
Gabon,4.799,generosity,-0.21454466875,2
Gambia,4.516,log_gdp,7.353572845,0
Gambia,4.516,life_exp,54.70000076,1
Gambia,4.516,generosity,0.126379773,2
Georgia,4.519,log_gdp,8.94405995876923,0
Georgia,4.519,life_exp,64.90769254307692,1
Georgia,4.519,generosity,-0.2286419466923077,2
Germany,6.985,log_gdp,10.663602309090908,0
Germany,6.985,life_exp,71.23090986909091,1
Germany,6.985,generosity,0.096944707,2
Ghana,4.996,log_gdp,8.12269485,0
Ghana,4.996,life_exp,54.625,1
Ghana,4.996,generosity,0.06199189508333333,2
Greece,5.287,log_gdp,10.166370391818182,0
Greece,5.287,life_exp,71.70000041727273,1
Greece,5.287,generosity,-0.28551546563636365,2
Guatemala,6.436,log_gdp,8.850690401538461,0
Guatemala,6.436,life_exp,62.80769230769231,1
Guatemala,6.436,generosity,0.07847837053846153,2
Guinea,4.534,log_gdp,7.497419834125,0
Guinea,4.534,life_exp,51.65000009625,1
Guinea,4.534,generosity,0.03488315325,2
Haiti,3.597,log_gdp,7.383703405090909,0
Haiti,3.597,life_exp,47.04909064545455,1
Haiti,3.597,generosity,0.307247564,2
Honduras,5.86,log_gdp,8.335816383384616,0
Honduras,5.86,life_exp,65.91538473230769,1
Honduras,5.86,generosity,0.08380264084615384,2
Hong Kong S.A.R. of China,5.43,log_gdp,10.810741317777778,0
Hong Kong S.A.R. of China,5.43,life_exp,75.12675984777778,1
Hong Kong S.A.R. of China,5.43,generosity,0.21290272477777777,2
Hungary,5.758,log_gdp,10.076768876,0
Hungary,5.758,life_exp,66.040000153,1
Hungary,5.758,generosity,-0.15082687079999998,2
Iceland,7.494,log_gdp,10.67408959,0
Iceland,7.494,life_exp,72.819999695,1
Iceland,7.494,generosity,0.27236553033333333,2
India,4.015,log_gdp,8.514222701416667,0
India,4.015,life_exp,58.140000025,1
India,4.015,generosity,-0.004539204916666666,2
Indonesia,5.192,log_gdp,9.122922457153846,0
Indonesia,5.192,life_exp,60.89230757384615,1
Indonesia,5.192,generosity,0.3736985119230769,2
Iran,4.548,log_gdp,9.782335069444445,0
Iran,4.548,life_exp,64.63555526777778,1
Iran,4.548,generosity,0.12688000622222223,2
Iraq,4.437,log_gdp,9.5572555541,0
Iraq,4.437,life_exp,58.987999724,1
Iraq,4.437,generosity,-0.0923649766,2
Ireland,7.021,log_gdp,10.849314530000001,0
Ireland,7.021,life_exp,71.6016667675,1
Ireland,7.021,generosity,0.2694769066666667,2
Israel,7.139,log_gdp,10.340290785,0
Israel,7.139,life_exp,72.49000040666667,1
Israel,7.139,generosity,0.1375890745,2
Italy,6.223,log_gdp,10.4812578375,0
Italy,6.223,life_exp,72.9099998475,1
Italy,6.223,generosity,0.0035206565833333313,2
Ivory Coast,4.944,log_gdp,8.076874664571429,0
Ivory Coast,4.944,life_exp,47.811428615714284,1
Ivory Coast,4.944,generosity,-0.059764146571428575,2
Jamaica,5.89,log_gdp,9.0109458924,0
Jamaica,5.89,life_exp,66.252000426,1
Jamaica,5.89,generosity,-0.041983435,2
Japan,5.886,log_gdp,10.520051957272727,0
Japan,5.886,life_exp,74.24727283909091,1
Japan,5.886,generosity,-0.1564087142727273,2
Jordan,4.906,log_gdp,9.098709821666667,0
Jordan,4.906,life_exp,65.42999998666667,1
Jordan,4.906,generosity,-0.107394342,2
Kazakhstan,5.809,log_gdp,9.972829891384615,0
Kazakhstan,5.809,life_exp,61.292307926153846,1
Kazakhstan,5.809,generosity,-0.167586939,2
Kenya,4.509,log_gdp,7.873013679846154,0
Kenya,4.509,life_exp,56.05384650692308,1
Kenya,4.509,generosity,0.14248008715384616,2
Kosovo,6.1,log_gdp,9.036586674818182,0
Kosovo,6.1,life_exp,63.58521721545455,1
Kosovo,6.1,generosity,0.10184584581818182,2
Kuwait,6.021,log_gdp,11.230084576666666,0
Kuwait,6.021,life_exp,65.31666691833334,1
Kuwait,6.021,generosity,-0.07699030833333334,2
Kyrgyzstan,5.261,log_gdp,7.999432490461539,0
Kyrgyzstan,5.261,life_exp,61.992307222307694,1
Kyrgyzstan,5.261,generosity,0.03379952015384615,2
Laos,4.796,log_gdp,8.42350033342857,0
Laos,4.796,life_exp,56.17428479857143,1
Laos,4.796,generosity,0.3213864415714286,2
Latvia,5.94,log_gdp,9.995376825666666,0
Latvia,5.94,life_exp,65.10000006416666,1
Latvia,5.94,generosity,-0.1311007995,2
Lebanon,5.197,log_gdp,9.564006964333334,0
Lebanon,5.197,life_exp,65.57999928583334,1
Lebanon,5.197,generosity,0.017424974666666666,2
Lesotho,3.802,log_gdp,7.897970835333333,0
Lesotho,3.802,life_exp,46.54666646333333,1
Lesotho,3.802,generosity,-0.117339976,2
Liberia,3.975,log_gdp,6.59850192075,0
Liberia,3.975,life_exp,52.94749927375,1
Liberia,3.975,generosity,0.050373907375,2
Libya,5.525,log_gdp,9.77246976025,0
Libya,5.525,life_exp,62.3899993925,1
Libya,5.525,generosity,-0.07941006974999999,2
Lithuania,6.149,log_gdp,10.107635058923076,0
Lithuania,6.149,life_exp,64.97692313461539,1
Lithuania,6.149,generosity,-0.2550428853076923,2
Luxembourg,7.09,log_gdp,11.433882999,0
Luxembourg,7.09,life_exp,72.213998411,1
Luxembourg,7.09,generosity,0.0479728486,2
Macedonia,5.274,log_gdp,9.394006035545454,0
Macedonia,5.274,life_exp,66.78363661181818,1
Macedonia,5.274,generosity,-0.017703278454545456,2
Madagascar,3.933,log_gdp,7.2476871491,0
Madagascar,3.933,life_exp,57.036000061,1
Madagascar,3.933,generosity,-0.0399471783,2
Malawi,3.41,log_gdp,6.937991012272727,0
Malawi,3.41,life_exp,52.55999963909091,1
Malawi,3.41,generosity,0.10192227236363637,2
Malaysia,5.339,log_gdp,10.008811603818183,0
Malaysia,5.339,life_exp,65.80000027727273,1
Malaysia,5.339,generosity,0.09584115081818181,2
Mali,4.39,log_gdp,7.539504766416667,0
Mali,4.39,life_exp,49.188333192500004,1
Mali,4.39,generosity,-0.049628581,2
Malta,6.726,log_gdp,10.34483009,0
Malta,6.726,life_exp,71.90888722666666,1
Malta,6.726,generosity,0.34530218933333334,2
Mauritania,4.49,log_gdp,8.156725963,0
Mauritania,4.49,life_exp,55.30999978333333,1
Mauritania,4.49,generosity,-0.022191455666666665,2
Mauritius,5.888,log_gdp,9.8566370008,0
Mauritius,5.888,life_exp,65.66000061,1
Mauritius,5.888,generosity,0.0955118538,2
Mexico,6.595,log_gdp,9.71033358575,0
Mexico,6.595,life_exp,67.07000033083334,1
Mexico,6.595,generosity,-0.12648989358333335,2
Moldova,5.529,log_gdp,8.365816263153846,0
Moldova,5.529,life_exp,62.22307674692308,1
Moldova,5.529,generosity,-0.042540063846153844,2
Mongolia,5.285,log_gdp,9.192475058909091,0
Mongolia,5.285,life_exp,60.91818167909091,1
Mongolia,5.285,generosity,0.09690938818181818,2
Montenegro,5.523,log_gdp,9.604349743272728,0
Montenegro,5.523,life_exp,67.53636377454545,1
Montenegro,5.523,generosity,-0.11751557445454545,2
Morocco,5.208,log_gdp,8.862796187375,0
Morocco,5.208,life_exp,64.70000028625,1
Morocco,5.208,generosity,-0.22269055425,2
Mozambique,4.466,log_gdp,6.8715782847142854,0
Mozambique,4.466,life_exp,49.06000028142857,1
Mozambique,4.466,generosity,0.034056799857142855,2
Myanmar,4.36,log_gdp,8.517464910142857,0
Myanmar,4.36,life_exp,58.04857199571428,1
Myanmar,4.36,generosity,0.6281995262857143,2
Namibia,4.639,log_gdp,9.12257456775,0
Namibia,4.639,life_exp,54.38500023,1
Namibia,4.639,generosity,-0.16695534274999999,2
Nepal,4.913,log_gdp,7.663275917416667,0
Nepal,4.913,life_exp,60.0000003175,1
Nepal,4.913,generosity,0.15248279325,2
Netherlands,7.488,log_gdp,10.750220299090909,0
Netherlands,7.488,life_exp,71.69090895181819,1
Netherlands,7.488,generosity,0.2881974713636364,2
New Zealand,7.307,log_gdp,10.4288194975,0
New Zealand,7.307,life_exp,72.25,1
New Zealand,7.307,generosity,0.27187680075,2
Nicaragua,6.105,log_gdp,8.411732673692308,0
Nicaragua,6.105,life_exp,65.88461597076923,1
Nicaragua,6.105,generosity,0.04634922930769231,2
Niger,4.628,log_gdp,6.746906390538461,0
Niger,4.628,life_exp,50.24615361153846,1
Niger,4.628,generosity,-0.015538445538461539,2
Nigeria,5.265,log_gdp,8.536780357454546,0
Nigeria,5.265,life_exp,46.99090923,1
Nigeria,5.265,generosity,0.053618109,2
Norway,7.554,log_gdp,11.06864535875,0
Norway,7.554,life_exp,72.49999904625,1
Norway,7.554,generosity,0.128327978,2
Pakistan,5.653,log_gdp,8.422091960916667,0
Pakistan,5.653,life_exp,56.75,1
Pakistan,5.653,generosity,0.09339198041666667,2
Palestinian Territories,4.696,log_gdp,8.28738427175,0
Palestinian Territories,4.696,life_exp,62.07374954,1
Palestinian Territories,4.696,generosity,-0.0947855915,2
Panama,6.321,log_gdp,9.78613677376923,0
Panama,6.321,life_exp,68.73076923076923,1
Panama,6.321,generosity,-0.011608080230769232,2
Paraguay,5.743,log_gdp,8.93184534725,0
Paraguay,5.743,life_exp,64.61666679333334,1
Paraguay,5.743,generosity,0.07435237108333333,2
Peru,5.697,log_gdp,9.26294202076923,0
Peru,5.697,life_exp,66.66923053384616,1
Peru,5.697,generosity,-0.11085221692307692,2
Philippines,5.631,log_gdp,8.720824315076923,0
Philippines,5.631,life_exp,60.95384627153846,1
Philippines,5.631,generosity,-0.010828882384615386,2
Poland,6.182,log_gdp,10.0593824375,0
Poland,6.182,life_exp,67.740000152,1
Poland,6.182,generosity,-0.0634046293,2
Portugal,5.693,log_gdp,10.200863925454545,0
Portugal,5.693,life_exp,71.32363614181818,1
Portugal,5.693,generosity,-0.16955356772727273,2
Qatar,6.374,log_gdp,11.7291092875,0
Qatar,6.374,life_exp,66.90999794,1
Qatar,6.374,generosity,0.09430773725,2
Romania,6.07,log_gdp,9.887036236363636,0
Romania,6.07,life_exp,65.87636358090909,1
Romania,6.07,generosity,-0.1458299789090909,2
Russia,5.648,log_gdp,10.084713055538462,0
Russia,5.648,life_exp,61.70769207307692,1
Russia,5.648,generosity,-0.2598656953846154,2
Rwanda,3.334,log_gdp,7.3697682855,0
Rwanda,3.334,life_exp,57.945999909,1
Rwanda,3.334,generosity,0.0090770799,2
Saudi Arabia,6.375,log_gdp,10.7823268575,0
Saudi Arabia,6.375,life_exp,64.96000035666667,1
Saudi Arabia,6.375,generosity,-0.10723306983333333,2
Senegal,4.681,log_gdp,7.716239342461538,0
Senegal,4.681,life_exp,56.82307698153846,1
Senegal,4.681,generosity,-0.050438818076923075,2
Serbia,5.603,log_gdp,9.487628676636364,0
Serbia,5.603,life_exp,66.78181735,1
Serbia,5.603,generosity,-0.10664273763636363,2
Sierra Leone,4.374,log_gdp,7.183623270545454,0
Sierra Leone,4.374,life_exp,45.10545453090909,1
Sierra Leone,4.374,generosity,0.08071686390909091,2
Singapore,6.262,log_gdp,11.214671482727272,0
Singapore,6.262,life_exp,75.06909041,1
Singapore,6.262,generosity,0.07427498181818182,2
Slovakia,6.198,log_gdp,10.2053976068,0
Slovakia,6.198,life_exp,67.62000045799999,1
Slovakia,6.198,generosity,-0.0868312321,2
Slovenia,6.118,log_gdp,10.281543211818182,0
Slovenia,6.118,life_exp,69.77272727272727,1
Slovenia,6.118,generosity,-0.01127304409090909,2
South Africa,4.722,log_gdp,9.397474582307693,0
